Yr/Seas,Host,Nationalities,Leader (s),Route(s),Result,Smtrs,Dead,Exped ID,Year,expedition_code,member_count,total_members,death_mbrs,hired_deaths,hired_count,hired_DR,mbr_DR
2007 Spr,Nepal,USA,Paul Giorgio,S Col-SE Ridge,Success,4,,EVER-071-63,2007,EVER071632007,5,2,0,0,3,0,0
2007 Spr,Nepal,France,Marie-Nadinie Laborde,S Col-SE Ridge,Route Difficulty,,,EVER-071-64,2007,EVER071642007,2,1,0,0,1,0,0
2007 Spr,Nepal,Nepal,Wongchu Sherpa,S Col-SE Ridge,Success,4,,EVER-071-65,2007,EVER071652007,5,4,0,0,1,0,0
2007 Spr,Nepal,"Czech Republic, Slovakia",Vladimir Zboja,S Col-SE Ridge,Success,3,,EVER-071-66,2007,EVER071662007,6,4,0,0,2,0,0
2007 Spr,Nepal,"Austria, Germany",Herbert Wolf,S Col-SE Ridge,Success,3,,EVER-071-67,2007,EVER071672007,3,2,0,0,1,0,0
2007 Spr,Nepal,Malaysia,Mohammad Fauzan Hassan,S Col-SE Ridge,Success,12,,EVER-071-68,2007,EVER071682007,13,7,0,0,6,0,0
2007 Spr,Nepal,Bangladesh,Ebsanur Rahman,S Col-SE Ridge,Route Difficulty,,,EVER-071-69,2007,EVER071692007,1,1,0,0,0,#DIV/0!,0
2007 Spr,Nepal,"Nepal, USA",Apa Sherpa,S Col-SE Ridge,Success,8,,EVER-071-70,2007,EVER071702007,10,5,0,0,5,0,0
2007 Spr,Nepal,S Korea,Park Sang-Soo,S Col-SE Ridge,Success,5,,EVER-071-71,2007,EVER071712007,17,15,0,0,2,0,0
2007 Spr,Nepal,S Korea,Park Young-Seok,SW Face,Accident,,2,EVER-071-72,2007,EVER071722007,10,8,2,0,2,0,0.25
2007 Spr,Nepal,S Korea,Heo Young-Ho,S Col-SE Ridge,Success,2,,EVER-071-73,2007,EVER071732007,3,1,0,0,2,0,0
2007 Spr,Nepal,USA,Dan Mazur,S Col-SE Ridge,Success,2,,EVER-071-74,2007,EVER071742007,5,4,0,0,1,0,0
2007 Spr,Nepal,S Korea,Kim Sung-Bong,S Col-SE Ridge,Success,7,,EVER-071-75,2007,EVER071752007,19,14,0,0,5,0,0
2007 Spr,Nepal,Canada,Claude Boisvenue,S Col-SE Ridge,Bad Weather,,,EVER-071-76,2007,EVER071762007,3,2,0,0,1,0,0
2007 Spr,Nepal,Nepal,Nima Dorchi,S Col-SE Ridge,Success,1,,EVER-071-77,2007,EVER071772007,1,1,0,0,0,#DIV/0!,0
2007 Spr,Nepal,"UK, Ireland, USA",Iain Peter,S Col-SE Ridge,Success,6,,EVER-071-78,2007,EVER071782007,10,6,0,0,4,0,0
2007 Spr,Nepal,"New Zealand, Australia, Belgium, UK, USA",Guy Cotter,S Col-SE Ridge,Success,25,,EVER-071-79,2007,EVER071792007,28,13,0,0,15,0,0
2007 Spr,Nepal,"USA, Canada, Turkey, UK",Vernon Tejas,S Col-SE Ridge,Success,21,,EVER-071-80,2007,EVER071802007,26,16,0,0,10,0,0
2007 Spr,Nepal,"UK, Ireland, S Africa, Spain, USA",Mike Grocott,S Col-SE Ridge,Success,25,,EVER-071-81,2007,EVER071812007,36,21,0,0,15,0,0
2007 Spr,Nepal,"USA, Canada, Jordan, Norway",Willie Benegas,S Col-SE Ridge,Success,12,,EVER-071-82,2007,EVER071822007,14,7,0,0,7,0,0
2007 Spr,Nepal,"USA, Canada, Mexico, S Africa, Singapore, UK",Mark Tucker,S Col-SE Ridge,Success,37,,EVER-071-83,2007,EVER071832007,45,22,0,0,23,0,0
2007 Spr,Nepal,UK,David Ratcliffe,S Col-SE Ridge,Success,2,,EVER-071-84,2007,EVER071842007,2,1,0,0,1,0,0
2007 Spr,Nepal,USA,Jim Williams,S Col-SE Ridge,Success,3,,EVER-071-85,2007,EVER071852007,5,2,0,0,3,0,0
2007 Spr,Nepal,UK,Nathan Figg,S Col-SE Ridge,Success,8,,EVER-071-86,2007,EVER071862007,10,5,0,0,5,0,0
2007 Spr,Nepal,UK,Simon Hall,S Col-SE Ridge,Success,12,,EVER-071-87,2007,EVER071872007,13,9,0,0,4,0,0
2007 Spr,Nepal,USA,Troy Aupperle,S Col-SE Ridge,Bad Weather,,,EVER-071-88,2007,EVER071882007,2,1,0,0,1,0,0
2007 Spr,Nepal,Pakistan,Muhammed Faizan,S Col-SE Ridge,Success,2,,EVER-071-89,2007,EVER071892007,3,1,0,0,2,0,0
2007 Spr,Nepal,Nepal,Ang Ngima Sherpa,S Col-SE Ridge,Success,1,,EVER-071-90,2007,EVER071902007,6,6,0,0,0,#DIV/0!,0
2007 Spr,Nepal,"UK, Canada, France, New Zealand, USA",Henry Todd,S Col-SE Ridge,Success,12,,EVER-071-91,2007,EVER071912007,15,10,0,0,5,0,0
2007 Spr,Nepal,"UK, Egypt, S Africa",Kenton Cool,S Col-SE Ridge,Success,9,,EVER-071-92,2007,EVER071922007,9,5,0,0,4,0,0
2007 Spr,Nepal,"UK, Belgium, USA",Victor Saunders,S Col-SE Ridge,Success,11,,EVER-071-93,2007,EVER071932007,11,6,0,0,5,0,0
2007 Spr,Nepal,Canada,Gabriel Filippi,S Col-SE Ridge,Bad Weather,,,EVER-071-94,2007,EVER071942007,5,2,0,0,3,0,0
2007 Spr,Nepal,Italy,Sergio Martini,S Col-SE Ridge,Lack of Supplies,,1,EVER-071-95,2007,EVER071952007,2,1,0,1,1,1,0
2007 Aut,Nepal,Thailand,Pinyo Rungroung,S Col-SE Ridge,Bad Weather,,,EVER-073-01,2007,EVER073012007,17,16,0,0,1,0,0
2008 Spr,China,China,Li Zhi-Xin,N Col-NE Ridge,Success,39,,EVER-081-01,2008,EVER081012008,76,76,0,0,0,#DIV/0!,0
2008 Spr,China,China,Nyima Tsering,N Col-NE Ridge,Other,,,EVER-081-02,2008,EVER081022008,5,1,0,0,4,0,0
2008 Spr,Nepal,"Nepal, Austria, Brazil, Germany, Japan, Mexico, S Korea, Slovakia, Spain, USA",Dawa Steven Sherpa,S Col-SE Ridge,Success,9,,EVER-081-03,2008,EVER081032008,25,15,0,0,10,0,0
2008 Spr,Nepal,France,Daniel Petraud,S Col-SE Ridge,Success,4,,EVER-081-04,2008,EVER081042008,4,2,0,0,2,0,0
2008 Spr,Nepal,"Switzerland, Austria, Germany, UK",Kari Kobler,S Col-SE Ridge,Success,16,1,EVER-081-05,2008,EVER081052008,20,11,1,0,9,0,0.090909091
2008 Spr,Nepal,USA,Richard Morse,S Col-SE Ridge,Success,5,,EVER-081-06,2008,EVER081062008,6,2,0,0,4,0,0
2008 Spr,Nepal,Spain,Catalina Quesada,S Col-SE Ridge,Success,2,,EVER-081-07,2008,EVER081072008,2,1,0,0,1,0,0
2008 Spr,Nepal,Spain,"Xavi Arias, Xavi Aymar",S Col-SE Ridge,Success,2,,EVER-081-08,2008,EVER081082008,2,2,0,0,0,#DIV/0!,0
2008 Spr,Nepal,Spain,Ricardo Guerrero,S Col-SE Ridge,Success,4,,EVER-081-09,2008,EVER081092008,4,2,0,0,2,0,0
2008 Spr,Nepal,Canada,Francois-Guy Thivierge,S Col-SE Ridge,Success,4,,EVER-081-10,2008,EVER081102008,4,2,0,0,2,0,0
2008 Spr,Nepal,Spain,Juan Ramon Madariaga,S Col-SE Ridge,Success,3,,EVER-081-11,2008,EVER081112008,3,2,0,0,1,0,0
2008 Spr,Nepal,"UK, Ireland",David Hamilton,S Col-SE Ridge,Success,11,,EVER-081-12,2008,EVER081122008,15,9,0,0,6,0,0
2008 Spr,Nepal,"UK, Algeria, Australia, S Africa, USA",Rob Casserley,S Col-SE Ridge,Success,17,,EVER-081-13,2008,EVER081132008,20,13,0,0,7,0,0
2008 Spr,Nepal,UK,Kenton Cool,S Col-SE Ridge,Success,2,,EVER-081-14,2008,EVER081142008,4,2,0,0,2,0,0
2008 Spr,Nepal,Canada,Richard Kurdziel,S Col-SE Ridge,Success,2,,EVER-081-15,2008,EVER081152008,2,1,0,0,1,0,0
2008 Spr,Nepal,Austria,Stephan Keck,S Col-SE Ridge,Bad Weather,,,EVER-081-16,2008,EVER081162008,1,1,0,0,0,#DIV/0!,0
2008 Spr,Nepal,Ukraine,Sergei Kovalev,S Col-SE Ridge,Success,4,,EVER-081-17,2008,EVER081172008,4,4,0,0,0,#DIV/0!,0
2008 Spr,Nepal,Switzerland,Norbert Joos,S Col-SE Ridge,Bad Weather,,,EVER-081-18,2008,EVER081182008,3,2,0,0,1,0,0
2008 Spr,Nepal,Hungary,David Klein,S Col-SE Ridge,"Illness, AMS",,,EVER-081-19,2008,EVER081192008,2,2,0,0,0,#DIV/0!,0
2008 Spr,Nepal,Italy,Sergio Martini,S Col-SE Ridge,Bad Weather,,,EVER-081-20,2008,EVER081202008,1,1,0,0,0,#DIV/0!,0
2008 Spr,Nepal,Brazil,Rodrigo Raineri,S Col-SE Ridge,Success,5,,EVER-081-21,2008,EVER081212008,5,2,0,0,3,0,0
2008 Spr,Nepal,"Canada, Oman, Saudi Arabia, UK, USA",Tim Rippel,S Col-SE Ridge,Success,13,,EVER-081-22,2008,EVER081222008,17,9,0,0,8,0,0
2008 Spr,Nepal,"New Zealand, Australia, Costa Rica, France, Ireland, UK",Jamie McGuinness,S Col-SE Ridge,Success,8,,EVER-081-23,2008,EVER081232008,11,7,0,0,4,0,0
2008 Spr,Nepal,UK,Samuel Short,S Col-SE Ridge,Success,2,,EVER-081-24,2008,EVER081242008,2,1,0,0,1,0,0
2008 Spr,Nepal,India,Kalpana Dash,S Col-SE Ridge,Success,4,,EVER-081-25,2008,EVER081252008,4,1,0,0,3,0,0
2008 Spr,Nepal,"USA, Canada",David Morton,S Col-SE Ridge,Success,5,,EVER-081-26,2008,EVER081262008,5,3,0,0,2,0,0
2008 Spr,Nepal,"New Zealand, USA",Marty Schmidt,S Col-SE Ridge,Lack of Supplies,,,EVER-081-27,2008,EVER081272008,2,2,0,0,0,#DIV/0!,0
2008 Spr,Nepal,Italy,Silvio Mondinelli,S Col-SE Ridge,Bad Weather,,,EVER-081-28,2008,EVER081282008,6,4,0,0,2,0,0
2008 Spr,Nepal,Poland,Boguslaw Magrel,S Col-SE Ridge,Success,2,,EVER-081-29,2008,EVER081292008,3,2,0,0,1,0,0
2008 Spr,Nepal,Japan,Atsushi Yamamoto,S Col-SE Ridge,Success,6,,EVER-081-30,2008,EVER081302008,10,8,0,0,2,0,0
2008 Spr,Nepal,Jordan,Mostafa Salameh,S Col-SE Ridge,Success,3,,EVER-081-31,2008,EVER081312008,3,1,0,0,2,0,0
2008 Spr,Nepal,Canada,Sylvie Frechette,S Col-SE Ridge,Success,3,,EVER-081-32,2008,EVER081322008,3,1,0,0,2,0,0
2008 Spr,Nepal,"USA, Canada",Ryan Waters,S Col-SE Ridge,Success,7,,EVER-081-33,2008,EVER081332008,9,5,0,0,4,0,0
2008 Spr,Nepal,Nepal,Susmita Maskey,S Col-SE Ridge,Success,20,,EVER-081-34,2008,EVER081342008,20,12,0,0,8,0,0
2008 Spr,Nepal,USA,Ronald Sanga,S Col-SE Ridge,Success,3,,EVER-081-35,2008,EVER081352008,3,1,0,0,2,0,0
2008 Spr,Nepal,S Korea,Son Yeong-Jo,S Col-SE Ridge,Success,2,,EVER-081-36,2008,EVER081362008,3,2,0,0,1,0,0
2008 Spr,Nepal,"UK, Australia, Canada, New Zealand",Phil Crampton,S Col-SE Ridge,Success,4,,EVER-081-37,2008,EVER081372008,13,8,0,0,5,0,0
2008 Spr,Nepal,"New Zealand, Australia, Canada, UK, USA",Michael Roberts,S Col-SE Ridge,Success,23,,EVER-081-38,2008,EVER081382008,24,11,0,0,13,0,0
2008 Spr,Nepal,"USA, Canada, Poland, Romania, Taiwan",Mark Tucker,S Col-SE Ridge,Success,31,,EVER-081-39,2008,EVER081392008,44,27,0,0,17,0,0
2008 Spr,Nepal,USA,Joby Ogwyn,S Col-SE Ridge,Success,1,,EVER-081-40,2008,EVER081402008,1,1,0,0,0,#DIV/0!,0
2008 Spr,Nepal,Mexico,Jorge Antonio Salazar,S Col-SE Ridge,Success,2,,EVER-081-41,2008,EVER081412008,2,2,0,0,0,#DIV/0!,0
2008 Spr,Nepal,"Canada, USA",Brian Jones,S Col-SE Ridge,Success,7,,EVER-081-42,2008,EVER081422008,12,8,0,0,4,0,0
2008 Spr,Nepal,Denmark,Soren Smidt,S Col-SE Ridge,Success,6,,EVER-081-43,2008,EVER081432008,6,2,0,0,4,0,0
2008 Spr,Nepal,USA,Willie Benegas,S Col-SE Ridge,Success,4,,EVER-081-44,2008,EVER081442008,6,4,0,0,2,0,0
2008 Spr,Nepal,"UK, Ireland",Stuart Peacock,S Col-SE Ridge,Success,5,,EVER-081-45,2008,EVER081452008,11,8,0,0,3,0,0
2008 Spr,Nepal,Japan,Yuichiro Miura,S Col-SE Ridge,Success,11,,EVER-081-46,2008,EVER081462008,15,5,0,0,10,0,0
2008 Spr,Nepal,S Korea,Hyun Kwon-Sik,S Col-SE Ridge,Success,3,,EVER-081-47,2008,EVER081472008,8,7,0,0,1,0,0
2008 Spr,Nepal,"Vietnam, Thailand, USA",Vitidnan Rojanpanich,S Col-SE Ridge,Success,12,,EVER-081-48,2008,EVER081482008,13,6,0,0,7,0,0
2008 Spr,Nepal,"USA, Ecuador",Vernon Tejas,S Col-SE Ridge,Success,19,,EVER-081-49,2008,EVER081492008,20,11,0,0,9,0,0
2008 Spr,Nepal,India,Gyamtsho Tshering Bhutia,S Col-SE Ridge,Success,22,,EVER-081-50,2008,EVER081502008,28,16,0,0,12,0,0
2008 Spr,Nepal,"Netherlands, Canada, France, Ireland, Norway, Poland, Singapore, UK, USA",Arnold Coster,S Col-SE Ridge,Success,27,,EVER-081-51,2008,EVER081512008,33,20,0,0,13,0,0
2008 Spr,Nepal,India,Ashok Abbey,S Col-SE Ridge,Success,18,,EVER-081-52,2008,EVER081522008,21,12,0,0,9,0,0
2008 Spr,Nepal,S Korea,Kim Mi-Young,S Col-SE Ridge,Success,1,,EVER-081-53,2008,EVER081532008,1,1,0,0,0,#DIV/0!,0
2008 Spr,Nepal,Italy,Angelo Giovanetti,S Col-SE Ridge,Success,9,,EVER-081-54,2008,EVER081542008,12,8,0,0,4,0,0
2008 Spr,Nepal,S Korea,Nam Sang-Ik,S Col-SE Ridge,Success,10,,EVER-081-55,2008,EVER081552008,14,8,0,0,6,0,0
2008 Spr,Nepal,Nepal,Min Bahadur Sherchan,S Col-SE Ridge,Success,6,,EVER-081-56,2008,EVER081562008,6,2,0,0,4,0,0
2008 Aut,Nepal,France,Francois Bon,S Col-SE Ridge,Accident,,,EVER-083-01,2008,EVER083012008,2,1,0,0,1,0,0
2008 Aut,Nepal,France,Antoine Bonfils,S Col-SE Ridge,Bad Conditions,,,EVER-083-02,2008,EVER083022008,2,1,0,0,1,0,0
2008 Aut,Nepal,Mexico,Leonardo Fernandez,S Col-SE Ridge,Accident,,,EVER-083-03,2008,EVER083032008,1,1,0,0,0,#DIV/0!,0
2008 Aut,Nepal,S Korea,Park Young-Seok,SW Face,Bad Weather,,,EVER-083-04,2008,EVER083042008,10,7,0,0,3,0,0
2008 Aut,Nepal,"Italy, Germany",Guilio Savia,S Col-SE Ridge,Bad Conditions,,,EVER-083-05,2008,EVER083052008,20,13,0,0,7,0,0
2009 Spr,Nepal,"Nepal, Austria, Denmark, Germany, India, Netherlands, USA",Dawa Steven Sherpa,S Col-SE Ridge,Success,17,1,EVER-091-01,2009,EVER091012009,36,17,0,1,19,0.052631579,0
2009 Spr,China,China,Nyima Tsering,N Col-NE Ridge,Success,48,1,EVER-091-02,2009,EVER091022009,61,29,1,0,32,0,0.034482759
2009 Spr,China,"France, Switzerland",Marc Batard,N Col-NE Ridge,Success,1,,EVER-091-03,2009,EVER091032009,6,4,0,0,2,0,0
2009 Spr,Nepal,UK,Paul Roose,S Col-SE Ridge,Success,1,,EVER-091-04,2009,EVER091042009,2,1,0,0,1,0,0
2009 Spr,Nepal,India,Tapi Mra,S Col-SE Ridge,Success,2,,EVER-091-05,2009,EVER091052009,2,1,0,0,1,0,0
2009 Spr,Nepal,Germany,Axel Richter,S Col-SE Ridge,Route Difficulty,,,EVER-091-06,2009,EVER091062009,1,1,0,0,0,#DIV/0!,0
2009 Spr,China,Canada,Manuel Pizarro,N Col-NE Ridge,Success,2,,EVER-091-07,2009,EVER091072009,3,2,0,0,1,0,0
2009 Spr,Nepal,Japan,Kenji Kondo,S Col-SE Ridge,Success,10,,EVER-091-08,2009,EVER091082009,11,6,0,0,5,0,0
2009 Spr,China,Italy,Luigi Rampini,N Col-NE Ridge,Lack of Supplies,,,EVER-091-09,2009,EVER091092009,1,1,0,0,0,#DIV/0!,0
2009 Spr,Nepal,"Kazakhstan, Kyrgyz Republic, Russia","Baglan Zhunus, Maxut Zhumayev",S Col-SE Ridge,"Illness, AMS",,,EVER-091-10,2009,EVER091102009,13,13,0,0,0,#DIV/0!,0
2009 Spr,China,Norway,Jarle Traa,N Col-NE Ridge,"Illness, AMS",,,EVER-091-11,2009,EVER091112009,1,1,0,0,0,#DIV/0!,0
2009 Spr,Nepal,S Korea,Lee Won-Sub,S Col-SE Ridge,"Illness, AMS",,,EVER-091-12,2009,EVER091122009,2,1,0,0,1,0,0
2009 Spr,Nepal,India,Gaurav Sharma,S Col-SE Ridge,Success,2,,EVER-091-13,2009,EVER091132009,2,1,0,0,1,0,0
2009 Spr,Nepal,USA,Marcus Scarth,S Col-SE Ridge,Success,4,,EVER-091-14,2009,EVER091142009,4,2,0,0,2,0,0
2009 Spr,Nepal,USA,Mike Farris,S Col-SE Ridge,Success,1,,EVER-091-15,2009,EVER091152009,1,1,0,0,0,#DIV/0!,0
2009 Spr,China,Peru,Richard Hidelgo,N Col-NE Ridge,"Illness, AMS",,,EVER-091-16,2009,EVER091162009,1,1,0,0,0,#DIV/0!,0
2009 Spr,Nepal,"USA, Finland, UK",Samuli Mansikka,S Col-SE Ridge,Success,7,,EVER-091-17,2009,EVER091172009,8,6,0,0,2,0,0
2009 Spr,Nepal,"UK, USA",Phil Crampton,S Col-SE Ridge,Success,3,,EVER-091-18,2009,EVER091182009,8,5,0,0,3,0,0
2009 Spr,Nepal,USA,Joseph Klopack,S Col-SE Ridge,"Illness, AMS",,,EVER-091-19,2009,EVER091192009,2,1,0,0,1,0,0
2009 Spr,China,Ecuador,Jairo Gonzalez,N Col-NE Ridge,Success,2,,EVER-091-20,2009,EVER091202009,2,1,0,0,1,0,0
2009 Spr,Nepal,S Africa,Reyno Skar,S Col-SE Ridge,Other,,,EVER-091-21,2009,EVER091212009,2,1,0,0,1,0,0
2009 Spr,China,Poland,Anna Baranaska,N Col-NE Ridge,Success,2,,EVER-091-22,2009,EVER091222009,2,1,0,0,1,0,0
2009 Spr,Nepal,China,John Tsang,S Col-SE Ridge,Success,3,,EVER-091-23,2009,EVER091232009,3,1,0,0,2,0,0
2009 Spr,China,Norway,Petter Kragset,N Col-NE Ridge,Success,2,,EVER-091-24,2009,EVER091242009,4,3,0,0,1,0,0
2009 Spr,China,Norway,Lars Oma Erichsrud,N Col-NE Ridge,Success,4,,EVER-091-25,2009,EVER091252009,4,2,0,0,2,0,0
2009 Spr,Nepal,Taiwan,Wu Yu-Lung,S Col-SE Ridge,Success,6,,EVER-091-26,2009,EVER091262009,7,4,0,0,3,0,0
2009 Spr,Nepal,"UK, Ireland",Gavin Bate,S Col-SE Ridge,Other,,,EVER-091-27,2009,EVER091272009,6,3,0,0,3,0,0
2009 Spr,Nepal,USA,Scott Woolums,S Col-SE Ridge,Success,8,,EVER-091-28,2009,EVER091282009,8,3,0,0,5,0,0
2009 Spr,China,Czech Republic,Libor Uher,N Col-NE Ridge,Bad Weather,,,EVER-091-29,2009,EVER091292009,5,5,0,0,0,#DIV/0!,0
2009 Spr,Nepal,"USA, Argentina",Damian Benegas,S Col-SE Ridge,Success,5,,EVER-091-30,2009,EVER091302009,5,4,0,0,1,0,0
2009 Spr,China,"UK, USA",Paul Noble,N Col-NE Ridge,Success,13,,EVER-091-31,2009,EVER091312009,15,9,0,0,6,0,0
2009 Spr,Nepal,Germany,Alois Bogenschuetz,S Col-SE Ridge,Success,2,,EVER-091-32,2009,EVER091322009,2,1,0,0,1,0,0
2009 Spr,Nepal,Romania,Alexandru Gavan,S Col-SE Ridge,Route Difficulty,,,EVER-091-33,2009,EVER091332009,1,1,0,0,0,#DIV/0!,0
2009 Spr,Nepal,France,Yves Morel,S Col-SE Ridge,"Illness, AMS",,,EVER-091-34,2009,EVER091342009,2,1,0,0,1,0,0
2009 Spr,Nepal,Nepal,Tika Ram Gurung,S Col-SE Ridge,Success,2,,EVER-091-35,2009,EVER091352009,2,1,0,0,1,0,0
2009 Spr,Nepal,Ireland,Martin Byrne,S Col-SE Ridge,Success,2,,EVER-091-36,2009,EVER091362009,4,1,0,0,3,0,0
2009 Spr,Nepal,Finland,Tomi Myllys,S Col-SE Ridge,Success,4,,EVER-091-37,2009,EVER091372009,9,9,0,0,0,#DIV/0!,0
2009 Spr,Nepal,"New Zealand, Australia, Denmark, Macedonia, Nepal, UK",David Hamilton,S Col-SE Ridge,Success,15,,EVER-091-38,2009,EVER091382009,19,10,0,0,9,0,0
2009 Spr,China,Japan,Eiko Funahashi,N Col-NE Ridge,Route Difficulty,,,EVER-091-39,2009,EVER091392009,5,1,0,0,4,0,0
2009 Spr,Nepal,"Germany, Switzerland",Olaf Zill,S Col-SE Ridge,Bad Weather,,,EVER-091-40,2009,EVER091402009,2,2,0,0,0,#DIV/0!,0
2009 Spr,Nepal,USA,Rohan Freeman,S Col-SE Ridge,Success,3,,EVER-091-41,2009,EVER091412009,3,1,0,0,2,0,0
2009 Spr,Nepal,"Switzerland, Austria, Germany, Spain",Karl Kobler,S Col-SE Ridge,Success,12,,EVER-091-42,2009,EVER091422009,12,6,0,0,6,0,0
2009 Spr,Nepal,"Spain, Ecuador",Manuel Diez,S Col-SE Ridge,Success,4,,EVER-091-43,2009,EVER091432009,6,3,0,0,3,0,0
2009 Spr,China,"USA, Canada, France, Iran, Netherlands, UK",Arnold Coster,N Col-NE Ridge,Success,10,,EVER-091-44,2009,EVER091442009,18,10,0,0,8,0,0
2009 Spr,Nepal,USA,Peter Whittaker,S Col-SE Ridge,Success,22,,EVER-091-45,2009,EVER091452009,25,10,0,0,15,0,0
2009 Spr,China,Japan,Masaji Ochiai,N Col-NE Ridge,Success,5,,EVER-091-46,2009,EVER091462009,14,11,0,0,3,0,0
2009 Spr,China,Spain,Josep Pujante,N Col-NE Ridge,Success,2,,EVER-091-47,2009,EVER091472009,3,2,0,0,1,0,0
2009 Spr,China,France,Ludovic Challeat,N Col-NE Ridge,Success,7,,EVER-091-48,2009,EVER091482009,16,9,0,0,7,0,0
2009 Spr,China,Colombia,Jorge Roa,N Col-NE Ridge,Bad Conditions,,,EVER-091-49,2009,EVER091492009,9,6,0,0,3,0,0
2009 Spr,Nepal,Nepal,Gokul Thapa,S Col-SE Ridge,Success,3,,EVER-091-50,2009,EVER091502009,5,3,0,0,2,0,0
2009 Spr,Nepal,Croatia,Darko Berljak,S Col-SE Ridge,Success,7,,EVER-091-51,2009,EVER091512009,15,12,0,0,3,0,0
2009 Spr,Nepal,"USA, Bulgaria, Canada, Czech Republic, S Africa, UK",Eric Simonson,S Col-SE Ridge,Success,20,,EVER-091-52,2009,EVER091522009,33,20,0,0,13,0,0
2009 Spr,Nepal,Singapore,Jane Lee,S Col-SE Ridge,Success,10,,EVER-091-53,2009,EVER091532009,12,7,0,0,5,0,0
2009 Spr,Nepal,"Canada, Germany, Israel, Mexico",Tim Rippel,S Col-SE Ridge,Success,13,,EVER-091-54,2009,EVER091542009,19,10,0,0,9,0,0
2009 Spr,Nepal,"UK, Slovenia, Spain, USA",Adele Pennington,S Col-SE Ridge,Success,18,,EVER-091-55,2009,EVER091552009,29,17,0,0,12,0,0
2009 Spr,Nepal,"Russia, Canada, France, Moldova, Netherlands, UK, USA",Alex Abramov,S Col-SE Ridge,Success,22,,EVER-091-56,2009,EVER091562009,24,14,0,0,10,0,0
2009 Spr,Nepal,"USA, Canada, France, New Zealand, Panama",Vernon Tejas,S Col-SE Ridge,Success,21,,EVER-091-57,2009,EVER091572009,29,19,0,0,10,0,0
2009 Spr,Nepal,S Korea,Park Young-Seok,SW Face (up); SE Ridge-S Col (down),Success,4,,EVER-091-58,2009,EVER091582009,5,5,0,0,0,#DIV/0!,0
2009 Spr,Nepal,India,Col. Mangal Murti Masur,S Col-SE Ridge,Success,17,,EVER-091-59,2009,EVER091592009,25,18,0,0,7,0,0
2009 Spr,Nepal,Russia,Boris Korshunov,S Col-SE Ridge,Success,2,,EVER-091-60,2009,EVER091602009,3,2,0,0,1,0,0
2009 Spr,Nepal,USA,Robert Link,S Col-SE Ridge,Bad Weather,,1,EVER-091-61,2009,EVER091612009,5,4,0,1,1,1,0
2009 Spr,China,Canada,Gabriel Filippi,N Col-NE Ridge,Bad Weather,,,EVER-091-62,2009,EVER091622009,2,2,0,0,0,#DIV/0!,0
2009 Spr,China,Spain,Cesar Perez de Tudela,N Col-NE Ridge,Bad Conditions,,,EVER-091-63,2009,EVER091632009,3,2,0,0,1,0,0
2009 Spr,China,Germany,Frank Ziebarth,N Col-NE Ridge,Success,1,1,EVER-091-64,2009,EVER091642009,1,1,1,0,0,#DIV/0!,1
2009 Spr,China,Canada,Luc Poirier,N Col-NE Ridge,Bad Conditions,,,EVER-091-65,2009,EVER091652009,2,1,0,0,1,0,0
2009 Spr,China,Canada,Christopher Guest,N Col-NE Ridge,Success,3,,EVER-091-66,2009,EVER091662009,5,2,0,0,3,0,0
2009 Spr,China,"Serbia, Bosnia-Herzegovina, Croatia, Italy, Montenegro, Slovenia",Dragan Jacimovic,N Col-NE Ridge,Bad Weather,,,EVER-091-67,2009,EVER091672009,28,19,0,0,9,0,0
2009 Spr,Nepal,"New Zealand, Belgium, France, Germany, Ireland, Japan, Mexico, Norway, S Africa, UK, USA",Russell Brice,S Col-SE Ridge,Success,53,,EVER-091-68,2009,EVER091682009,63,37,0,0,26,0,0
2009 Spr,Nepal,"UK, Hungary, Mexico, USA","Henry Todd, Kenton Cool",S Col-SE Ridge,Success,13,,EVER-091-69,2009,EVER091692009,15,8,0,0,7,0,0
2009 Spr,China,"San Marino, Italy",Antonio Pazzaglia,N Col-NE Ridge,Success,1,,EVER-091-70,2009,EVER091702009,4,4,0,0,0,#DIV/0!,0
2009 Spr,Nepal,Nepal,Junita Sambahamphe,S Col-SE Ridge,Success,3,,EVER-091-71,2009,EVER091712009,3,1,0,0,2,0,0
2009 Spr,Nepal,USA,Steve Lem,S Col-SE Ridge,Success,4,,EVER-091-72,2009,EVER091722009,4,1,0,0,3,0,0
2009 Spr,Nepal,S Korea,Joo Jung-Soo,S Col-SE Ridge,Success,10,,EVER-091-73,2009,EVER091732009,14,9,0,0,5,0,0
2009 Spr,China,Canada,Alexandre Pare,N Col-NE Ridge,Lack of Supplies,,,EVER-091-74,2009,EVER091742009,3,3,0,0,0,#DIV/0!,0
2009 Spr,Nepal,Italy,Sergio Martini,S Col-SE Ridge,Success,2,,EVER-091-75,2009,EVER091752009,2,1,0,0,1,0,0
2009 Spr,China,Germany,Darek Wylezol,N Col-NE Ridge,"Illness, AMS",,,EVER-091-76,2009,EVER091762009,2,1,0,0,1,0,0
2009 Spr,Nepal,USA,Cho Young-Jay,S Col-SE Ridge,Lack of Time,,,EVER-091-77,2009,EVER091772009,1,1,0,0,0,#DIV/0!,0
2009 Spr,Nepal,Germany,Michel Niemeier,S Col-SE Ridge,"Illness, AMS",,,EVER-091-78,2009,EVER091782009,1,1,0,0,0,#DIV/0!,0
